id;nombre;nombreCompleto;edad;nacionalidad;puntuacion;potencial;equipo;precio;salarioSemana;posicion;foto
158023;L. Messi;Lionel Messi;33;Argentina;93;93;FC Barcelona;67500000;560000;RW;https://cdn.sofifa.com/players/158/023/21_60.png
20801;Cristiano Ronaldo;C. Ronaldo dos Santos Aveiro;35;Portugal;92;92;Juventus;46000000;220000;ST;https://cdn.sofifa.com/players/020/801/21_60.png
188545;R. Lewandowski;Robert Lewandowski;31;Poland;91;91;FC Bayern München;80000000;240000;ST;https://cdn.sofifa.com/players/188/545/21_60.png
190871;Neymar Jr;Neymar da Silva Santos Jr.;28;Brazil;91;91;Paris Saint-Germain;90000000;270000;LW;https://cdn.sofifa.com/players/190/871/21_60.png
192985;K. De Bruyne;Kevin De Bruyne;29;Belgium;91;91;Manchester City;87000000;370000;CAM;https://cdn.sofifa.com/players/192/985/21_60.png
200389;J. Oblak;Jan Oblak;27;Slovenia;91;93;Atlético Madrid;75000000;125000;GK;https://cdn.sofifa.com/players/200/389/21_60.png
203376;V. van Dijk;Virgil van Dijk;28;Netherlands;90;91;Liverpool;75500000;210000;CB;https://cdn.sofifa.com/players/203/376/21_60.png
209331;M. Salah;Mohamed Salah;28;Egypt;90;90;Liverpool;78000000;250000;RW;https://cdn.sofifa.com/players/209/331/21_60.png
231747;K. Mbappé;Kylian Mbappé;21;France;90;95;Paris Saint-Germain;105500000;160000;ST;https://cdn.sofifa.com/players/231/747/21_60.png
208722;S. Mané;Sadio Mané;28;Senegal;90;90;Liverpool;78000000;250000;LW;https://cdn.sofifa.com/players/208/722/21_60.png
212831;Alisson;Alisson Ramses Becker;27;Brazil;90;91;Liverpool;62500000;160000;GK;https://cdn.sofifa.com/players/212/831/21_60.png
192448;M. ter Stegen;Marc-André ter Stegen;28;Germany;90;93;FC Barcelona;69500000;260000;GK;https://cdn.sofifa.com/players/192/448/21_60.png
167495;M. Neuer;Manuel Neuer;34;Germany;89;89;FC Bayern München;29000000;125000;GK;https://cdn.sofifa.com/players/167/495/21_60.png
200145;Casemiro;Carlos Henrique Venancio Casimiro;28;Brazil;89;89;Real Madrid;59500000;310000;CDM;https://cdn.sofifa.com/players/200/145/21_60.png
153079;S. Agüero;Sergio Agüero;32;Argentina;89;89;Manchester City;53000000;300000;ST;https://cdn.sofifa.com/players/153/079/21_60.png
155862;Sergio Ramos;Sergio Ramos García;34;Spain;89;89;Real Madrid;24500000;300000;CB;https://cdn.sofifa.com/players/155/862/21_60.png
165153;K. Benzema;Karim Benzema;32;France;89;89;Real Madrid;53000000;350000;CF;https://cdn.sofifa.com/players/165/153/21_60.png
192119;T. Courtois;Thibaut Courtois;28;Belgium;89;90;Real Madrid;56000000;250000;GK;https://cdn.sofifa.com/players/192/119/21_60.png
210257;Ederson;Ederson Santana de Moraes;26;Brazil;88;91;Manchester City;53500000;195000;GK;https://cdn.sofifa.com/players/210/257/21_60.png
215914;N. Kanté;N'Golo Kanté;29;France;88;88;Chelsea;51000000;190000;CDM;https://cdn.sofifa.com/players/215/914/21_60.png
211110;P. Dybala;Paulo Dybala;26;Argentina;88;89;Juventus;71000000;190000;CAM;https://cdn.sofifa.com/players/211/110/21_60.png
162835;S. Handanovič;Samir Handanovič;35;Slovenia;88;88;Inter;16000000;100000;GK;https://cdn.sofifa.com/players/162/835/21_60.png
182521;T. Kroos;Toni Kroos;30;Germany;88;88;Real Madrid;55000000;310000;CM;https://cdn.sofifa.com/players/182/521/21_60.png
183277;E. Hazard;Eden Hazard;29;Belgium;88;88;Real Madrid;58000000;350000;LW;https://cdn.sofifa.com/players/183/277/21_60.png
201024;K. Koulibaly;Kalidou Koulibaly;29;Senegal;88;88;Napoli;50000000;140000;CB;https://cdn.sofifa.com/players/201/024/21_60.png
202126;H. Kane;Harry Kane;26;England;88;89;Tottenham Hotspur;71000000;220000;ST;https://cdn.sofifa.com/players/202/126/21_60.png
202652;R. Sterling;Raheem Sterling;25;England;88;90;Manchester City;72500000;270000;LW;https://cdn.sofifa.com/players/202/652/21_60.png
212622;J. Kimmich;Joshua Kimmich;25;Germany;88;90;FC Bayern München;65000000;145000;CDM;https://cdn.sofifa.com/players/212/622/21_60.png
186153;W. Szczęsny;Wojciech Szczęsny;30;Poland;87;87;Juventus;34000000;105000;GK;https://cdn.sofifa.com/players/186/153/21_60.png
138956;G. Chiellini;Giorgio Chiellini;35;Italy;87;87;Juventus;15500000;94000;CB;https://cdn.sofifa.com/players/138/956/21_60.png
167948;H. Lloris;Hugo Lloris;33;France;87;87;Tottenham Hotspur;27000000;125000;GK;https://cdn.sofifa.com/players/167/948/21_60.png
176580;L. Suárez;Luis Suárez;33;Uruguay;87;87;Atlético Madrid;31500000;115000;ST;https://cdn.sofifa.com/players/176/580/21_60.png
177003;L. Modrić;Luka Modrić;34;Croatia;87;87;Real Madrid;24500000;260000;CM;https://cdn.sofifa.com/players/177/003/21_60.png
183898;A. Di María;Ángel Di María;32;Argentina;87;87;Paris Saint-Germain;39000000;160000;RW;https://cdn.sofifa.com/players/183/898/21_60.png
188567;P. Aubameyang;Pierre-Emerick Aubameyang;31;Gabon;87;87;Arsenal;45000000;170000;ST;https://cdn.sofifa.com/players/188/567/21_60.png
192387;C. Immobile;Ciro Immobile;30;Italy;87;87;Lazio;48500000;125000;ST;https://cdn.sofifa.com/players/192/387/21_60.png
193041;K. Navas;Keylor Navas;33;Costa Rica;87;87;Paris Saint-Germain;27000000;110000;GK;https://cdn.sofifa.com/players/193/041/21_60.png
194765;A. Griezmann;Antoine Griezmann;29;France;87;87;FC Barcelona;50500000;290000;ST;https://cdn.sofifa.com/players/194/765/21_60.png
200104;H. Son;Heung Min Son;27;Korea Republic;87;87;Tottenham Hotspur;52500000;165000;LM;https://cdn.sofifa.com/players/200/104/21_60.png
